SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,depth_mid_cm,C_frac,N_frac,C_stock_kg_m2,N_stock_kg_m2,effective_thickness_cm,thickness_ratio,C_stock_trunc_kg_m2,N_stock_trunc_kg_m2
TL27-NPF-10-0-20,TL27 NonPF Core 10,0.0,20.0,20.0,10.0,0.57887184,6.944116,0.242981794,28.57875024,0.508264944,0.019445613,0.653668936,454248.159,7180065.11,10.0,0.06944116,0.00242981794,8.039506412186881,0.2813106363585619,20.0,1.0,8.039506412186881,0.2813106363585619
TL27-NPF-10-20-40,TL27 NonPF Core 10,20.0,40.0,20.0,30.0,0.744066674,3.679019,0.146681477,25.08168777,0.619050362,0.027648494,0.962723026,454248.159,7180065.11,30.0,0.03679019,0.00146681477,5.474870861825611,0.218281597457595,20.0,1.0,5.474870861825611,0.218281597457595
TL27-NPF-10-40-60,TL27 NonPF Core 10,40.0,60.0,20.0,50.0,0.909261508,1.586942,0.080821561,19.63513185,0.345262909,0.013569433,0.937198916,454248.159,7180065.11,50.0,0.015869420000000002,0.00080821561,2.885890552057073,0.14697586886754796,10.0,0.5,1.4429452760285364,0.07348793443377398
TL27-NPF-13-0-20,TL27 NonPF Core 13,0.0,20.0,20.0,10.0,0.600949332,3.726402704,0.121496843,30.55216583,0.858134269,0.024330627,0.929476014,454134.5091,7180197.471,10.0,0.03726402704,0.0012149684299999999,4.4787584314635875,0.14602689328191776,20.0,1.0,4.4787584314635875,0.14602689328191776
TL27-NPF-13-20-50,TL27 NonPF Core 13,20.0,50.0,30.0,35.0,1.297163042,1.670459195,0.044039529,37.93032611,0.088399299,0.002312168,0.063070104,454134.5091,7180197.471,35.0,0.01670459195,0.00044039529000000003,6.500573792769213,0.17137934821766165,30.0,1.0,6.500573792769213,0.17137934821766165
TL27-NPF-3-0-40,TL27 NonPF Core 3,0.0,40.0,40.0,20.0,0.244728999,10.15888222,0.561469942,18.04863817,1.649234758,0.077288429,0.496594737,454827.9905,7178958.053,20.0,0.10158882220000001,0.00561469942,9.944692306637993,0.5496319074969922,40.0,1.0,9.944692306637993,0.5496319074969922
TL27-NPF-3-40-60,TL27 NonPF Core 3,40.0,60.0,20.0,50.0,1.088861905,1.097109006,0.089501201,12.30399439,0.094475316,0.012475226,0.659430252,454827.9905,7178958.053,50.0,0.010971090059999999,0.00089501201,2.3892004045316324,0.1949088964412958,10.0,0.5,1.1946002022658162,0.0974544482206479
TL27-NPF-4-0-20,TL27 NonPF Core 4,0.0,20.0,20.0,10.0,0.238988851,8.272709,0.55601034,14.87869633,0.14172595,0.015164002,0.223351537,454800.1835,7179054.213,10.0,0.08272709,0.0055601034,3.954170437134718,0.2657605446014387,20.0,1.0,3.954170437134718,0.2657605446014387
TL27-NPF-4-20-40,TL27 NonPF Core 4,20.0,40.0,20.0,30.0,0.765647422,0.766349,0.100462314,7.628223683,0.213902236,0.021526427,0.618681035,454800.1835,7179054.213,30.0,0.007663489999999999,0.00100462314,1.173506272404556,0.153837423444509,20.0,1.0,1.173506272404556,0.153837423444509
TL27-NPF-4-40-60,TL27 NonPF Core 4,40.0,60.0,20.0,50.0,0.9552930785,0.407699,0.070297819,5.799596752,0.053308027,0.001976568,0.790622398,454800.1835,7179054.213,50.0,0.00407699,0.0007029781899999999,0.778944065622743,0.13431003984869155,10.0,0.5,0.3894720328113715,0.06715501992434578
TL27-NPF-5-0-40,TL27 NonPF Core 5,0.0,40.0,40.0,20.0,0.239871,4.155044,0.29707716,13.98641351,0.982853262,0.036787136,1.640936715,454702.87,7179098.696,20.0,0.04155044,0.0029707716,3.986698237296,0.28504078178543996,40.0,1.0,3.986698237296,0.28504078178543996
TL27-NPF-5-40-60,TL27 NonPF Core 5,40.0,60.0,20.0,50.0,0.239871,1.562521,0.196480657,7.952543659,0.000713908,0.017036693,0.706162043,454702.87,7179098.696,50.0,0.01562521,0.00196480657,0.7496069495820001,0.094260023350494,10.0,0.5,0.37480347479100007,0.047130011675247
TL27-NPF-6-0-35,TL27 NonPF Core 6,0.0,35.0,35.0,17.0,0.188431394,4.468761,0.38754939,11.53081676,1.298966566,0.08436971,1.024282728,454795.3518,7178932.015,17.5,0.044687609999999996,0.0038754939,2.947192026389919,0.25559265130542386,35.0,1.0,2.947192026389919,0.25559265130542386
TL27-NPF-6-35-70,TL27 NonPF Core 6,35.0,70.0,35.0,52.0,0.49925488500000004,3.835373,0.330358537,11.60972872,0.432349399,0.017715733,0.983036188,454795.3518,7178932.015,52.5,0.03835373,0.00330358537,6.701900471164867,0.5772658968954615,15.0,0.42857142857142855,2.8722430590706574,0.2473996700980549
TL27-NPF-7-0-40,TL27 NonPF Core 7,0.0,40.0,40.0,20.0,0.539316334,4.563142,0.335626248,13.59590328,0.74120291,0.039602901,0.594607927,454781.0551,7178960.205,20.0,0.04563142,0.0033562624800000003,9.843908059845711,0.7240348706621393,40.0,1.0,9.843908059845711,0.7240348706621393
TL27-NPF-7-40-80,TL27 NonPF Core 7,40.0,80.0,40.0,60.0,0.539316334,0.448344,0.165127295,2.715141667,0.107330174,0.034705576,1.174595165,454781.0551,7178960.205,60.0,0.00448344,0.0016512729500000002,0.967196969803584,0.35622338953094623,10.0,0.25,0.241799242450896,0.08905584738273656
TL27-NPF-8-0-40,TL27 NonPF Core 8,0.0,40.0,40.0,20.0,0.243183574,4.492125,0.286714557,15.66758605,1.1565755,0.083324181,1.080316254,454802.4897,7178928.341,20.0,0.044921249999999996,0.0028671455699999997,4.369644049419,0.2788970827563469,40.0,1.0,4.369644049419,0.2788970827563469
TL27-NPF-8-40-65,TL27 NonPF Core 8,40.0,65.0,25.0,52.0,0.981896457,1.336841,0.140721423,9.499911062,0.217937226,0.01714724,2.726542374,454802.4897,7178928.341,52.5,0.013368409999999999,0.0014072142300000001,3.281598603680842,0.3454346666692458,10.0,0.4,1.3126394414723368,0.13817386666769835
TL27-NPF-9-0-20,TL27 NonPF Core 9,0.0,20.0,20.0,10.0,0.683408765,8.027615,0.384317706,20.88796552,0.247487719,0.059926962,3.381741143,454352.6583,7179642.101,10.0,0.08027615,0.00384317706,10.97228490609095,0.5252921776501862,20.0,1.0,10.97228490609095,0.5252921776501862
TL27-NPF-9-20-40,TL27 NonPF Core 9,20.0,40.0,20.0,30.0,0.659896236,5.75861,0.238939418,24.10071157,0.149965703,0.007371892,0.114735091,454352.6583,7179642.101,30.0,0.0575861,0.0023893941799999997,7.600170127183921,0.31535044514046123,20.0,1.0,7.600170127183921,0.31535044514046123
TL27-NPF-9-40-60,TL27 NonPF Core 9,40.0,60.0,20.0,50.0,1.083121757,1.878271,0.041169785,45.62256041,0.307740823,0.013649268,10.28263542,454352.6583,7179642.101,50.0,0.01878271,0.00041169785,4.068792371284294,0.0891837797290245,10.0,0.5,2.034396185642147,0.04459188986451225
TL27-PF-1-0-40,TL27 PF Core 1 ,0.0,40.0,40.0,20.0,0.24815101,13.57187599,0.781860964,17.35690493,0.449342672,0.022057781,0.112077119,454923.1661,7178744.523,20.0,0.1357187599,0.00781860964,13.471498938053,0.7760783515846945,40.0,1.0,13.471498938053,0.7760783515846945
TL27-PF-1-40-63,TL27 PF Core 1 ,40.0,63.0,23.0,51.0,0.963792913,4.776389579,0.273874415,17.4386452,0.876559577,0.049088182,0.445832507,454923.1661,7178744.523,51.5,0.04776389579,0.00273874415,10.587935979724683,0.6071039065267481,10.0,0.43478260869565216,4.603450425967254,0.2639582202290209
