SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,depth_mid_cm,C_frac,N_frac,C_stock_kg_m2,N_stock_kg_m2,effective_thickness_cm,thickness_ratio,C_stock_trunc_kg_m2,N_stock_trunc_kg_m2
TL47 22-01 0-10cm,TL47 22-01,0,10,10,5,0.218,9.14,0.447,20.44,0.79,0.23,0.97,443320.1748,7206177.654,5,0.0914,0.00447,1.99252,0.097446,10,1,1.99252,0.097446
TL47 22-01 10-30cm,TL47 22-01,10,30,20,20,1.109,3.65,0.22,16.64,0.79,0.23,0.97,443320.1748,7206177.654,20,0.0365,0.0022,8.0957,0.48796,20,1,8.0957,0.48796
TL47-22-01 0-23,TL47 22-01,30,53,23,41.5,1.179920212,4.12,0.279,14.78,0.47,0.04,0.36,443320.1748,7206177.654,41.5,0.0412,0.00279,11.18092393,0.7571548,20,0.869565217,9.722542547,0.658395478
TL47 22-03-0-15cm,TL47 22-03,0,15,15,7.5,0.303,27.48,1.125,24.42,0.79,0.23,0.97,443327.8756,7206682.477,7.5,0.2748,0.01125,12.48966,0.5113125,15,1,12.48966,0.5113125
TL47-22-03-15-50cm,TL47 22-03,15,50,35,32.5,1.580508918,1,0.077,13.01,0.47,0.06,0.4,443327.8756,7206682.477,32.5,0.01,0.00077,5.531781211,0.425947153,35,1,5.531781211,0.425947153
TL47 ALD Border Pit 0-10cm,TL47 ALD Border Pit,0,10,10,5,0.255,27.98,1.420759094,19.69148043,0.214193506,0.026771108,0.187279883,442445,7207075,5,0.2798,0.014207591,7.1349,0.362293569,10,1,7.1349,0.362293569
TL47 ALD Border Pit 10-20cm,TL47 ALD Border Pit,10,20,10,15,0.8025,27.98,0.15708711,13.83238438,0.309903284,0.010102031,0.133379652,442445,7207075,15,0.2798,0.001570871,22.45395,0.126062406,10,1,22.45395,0.126062406
TL47 ALD Border Pit 20-40cm,TL47 ALD Border Pit,20,40,20,30,1.35,1.82,0.154792118,10.77861783,0.39449823,0.054284457,0.224980246,442445,7207075,30,0.0182,0.001547921,4.914,0.417938719,20,1,4.914,0.417938719
TL47 ALD Border Pit 40-70cm,TL47 ALD Border Pit,40,70,30,55,1.325,2.36,0.15630476,15.08679315,0.39449823,0.054284457,0.224980246,442445,7207075,55,0.0236,0.001563048,9.381,0.621311421,10,0.333333333,3.127,0.207103807
TL47 ALD Pit 0-20cm,TL47 ALD Pit,0,20,20,10,1,1.03,0.103093568,10.0223929,0.39449823,0.054284457,0.224980246,442445,7207075,10,0.0103,0.001030936,2.06,0.206187136,20,1,2.06,0.206187136
TL47 ALD Pit 20-40cm,TL47 ALD Pit,20,40,20,30,1.1,1.28,0.12046392,10.60539663,0.39449823,0.054284457,0.224980246,442445,7207075,30,0.0128,0.001204639,2.816,0.265020624,20,1,2.816,0.265020624
TL47 ALD Pit 40-60cm,TL47 ALD Pit,40,60,20,50,1.58,0.88,0.110420992,7.965472144,0.214193506,0.026771108,0.187279883,442445,7207075,50,0.0088,0.00110421,2.7808,0.348930335,10,0.5,1.3904,0.174465167
TL47 ALD Trench 1 0-10cm,TL47 ALD Trench 1,0,10,10,5,0.42,4,0.286346307,13.95632896,0.214193506,0.026771108,0.187279883,442445,7207075,5,0.04,0.002863463,1.68,0.120265449,10,1,1.68,0.120265449
TL47 ALD Trench 1 10-20cm,TL47 ALD Trench 1,10,20,10,15,0.415,2.88,0.225207676,12.79705857,0.309903284,0.010102031,0.133379652,442445,7207075,15,0.0288,0.002252077,1.1952,0.093461186,10,1,1.1952,0.093461186
TL47 ALD Trench 1 20-40cm,TL47 ALD Trench 1,20,40,20,30,0.41,13.91,0.754875955,18.43207741,0.214193506,0.026771108,0.187279883,442445,7207075,30,0.1391,0.00754876,11.4062,0.618998283,20,1,11.4062,0.618998283
TL47 ALD Trench 2 0-10cm,TL47 ALD Trench 2 ,0,10,10,5,0.24,26.09,0.381732529,16.66734099,0.214193506,0.026771108,0.187279883,442445,7207075,5,0.2609,0.003817325,6.2616,0.091615807,10,1,6.2616,0.091615807
TL47 ALD Trench 2 10-20cm,TL47 ALD Trench 2 ,10,20,10,15,1.02,6.63,0.304791541,17.9309359,0.214193506,0.026771108,0.187279883,442445,7207075,15,0.0663,0.003047915,6.7626,0.310887372,10,1,6.7626,0.310887372
TL47 ALD Trench 2 20-40cm,TL47 ALD Trench 2 ,20,40,20,30,1.25,2.56,0.11608463,11.51136852,0.39449823,0.054284457,0.224980246,442445,7207075,30,0.0256,0.001160846,6.4,0.290211575,20,1,6.4,0.290211575
TL47 ALD Trench 2 40-80cm,TL47 ALD Trench 2 ,40,80,40,60,1.275,1,0.116505412,8.618717852,0.309903284,0.010102031,0.133379652,442445,7207075,60,0.01,0.001165054,5.1,0.594177601,10,0.25,1.275,0.1485444
TL47 DoubleTree Pit 1 0-20cm,TL47 DoubleTree Pit 1,0,20,20,10,0.8,3.23,0.169233223,19.1021157,1.07793309,0.229545868,0.429400956,442376,7206509,10,0.0323,0.001692332,5.168,0.270773157,20,1,5.168,0.270773157
TL47 DoubleTree Pit 1 20-40cm,TL47 DoubleTree Pit 1,2,40,20,21,1.05,1.92,0.143506711,13.41080093,0.214193506,0.026771108,0.187279883,442376,7206509,21,0.0192,0.001435067,4.032,0.301364093,38,1.9,7.6608,0.572591777
TL47 DoubleTree Pit 1 40-90cm,TL47 DoubleTree Pit 1,40,90,50,65,1.3,2.56,0.186078448,13.74292836,0.214193506,0.026771108,0.187279883,442376,7206509,65,0.0256,0.001860784,16.64,1.209509912,10,0.2,3.328,0.241901982
TL47 FGLB-1 0-10cm,TL47 FGLB-1,0,10,10,5,0.55,33.85,1.62,20.9,0.79,0.23,0.97,442690.453,7206747.269,5,0.3385,0.0162,18.6175,0.891,10,1,18.6175,0.891
TL47 FGLB-1 10-18cm,TL47 FGLB-1,10,18,8,14,0.81875,15.92,0.805,19.77,0.79,0.23,0.97,442690.453,7206747.269,14,0.1592,0.00805,10.4276,0.527275,8,1,10.4276,0.527275
TL47 FGLB-1 40-60cm,TL47 FGLB-1,40,60,20,50,1.0875,2.39,0.188,12.75,0.79,0.23,0.97,442690.453,7206747.269,50,0.0239,0.00188,5.19825,0.4089,10,0.5,2.599125,0.20445
TL47 GullyPit 1 0-10cm,TL47 GullyPit 1,0,10,10,5,0.9,2.9,0.204618119,14.19687008,0.214193506,0.026771108,0.187279883,442478,7206580,5,0.029,0.002046181,2.61,0.184156307,10,1,2.61,0.184156307
TL47 GullyPit 1 10-20cm,TL47 GullyPit 1,10,20,10,15,0.99375,8.64,0.52676916,16.4057468,1.07793309,0.229545868,0.429400956,442478,7206580,15,0.0864,0.005267692,8.586,0.523476853,10,1,8.586,0.523476853
TL47 GullyPit 1 20-70cm,TL47 GullyPit 1,20,70,50,45,1.0875,1.19,0.116985808,10.18986731,0.214193506,0.026771108,0.187279883,442478,7206580,45,0.0119,0.001169858,6.470625,0.636110331,30,0.6,3.882375,0.381666199
TL47 Midslope Failure 0-20cm,TL47 Midslope Failure,0,20,20,10,0.3,10.77,0.86087487,12.50951661,1.07793309,0.229545868,0.429400956,442432,7206861,10,0.1077,0.008608749,6.462,0.516524922,20,1,6.462,0.516524922
TL47 Midslope Failure 20-60cm,TL47 Midslope Failure,20,60,40,40,0.5625,2.32,0.187206567,12.39187233,0.214193506,0.026771108,0.187279883,442432,7206861,40,0.0232,0.001872066,5.22,0.421214776,30,0.75,3.915,0.315911082
TL47 NPF-1 0-10cm,TL47 NPF-1,0,10,10,5,0.55,16.23,0.98,16.57,0.47,0.06,0.4,443032.1486,7206635.717,5,0.1623,0.0098,8.9265,0.539,10,1,8.9265,0.539
TL47 NPF-1 10-23cm,TL47 NPF-1,10,23,13,16.5,0.729166667,4.98,0.372,13.4,0.47,0.06,0.4,443032.1486,7206635.717,16.5,0.0498,0.00372,4.720625,0.352625,13,1,4.720625,0.352625
TL47 NPF-1 23-33cm,TL47 NPF-1,23,33,10,28,0.908333333,1.09,0.091,12.03,0.47,0.06,0.4,443032.1486,7206635.717,28,0.0109,0.00091,0.990083333,0.082658333,10,1,0.990083333,0.082658333
TL47 NPF-1 33-46 cm,TL47 NPF-1,33,46,13,39.5,1.0875,3.02,0.24,12.62,0.47,0.06,0.4,443032.1486,7206635.717,39.5,0.0302,0.0024,4.269525,0.3393,13,1,4.269525,0.3393
TL47 NPF-1 46-82cm,TL47 NPF-1,46,82,36,64,1.306,3.78,0.271,13.93,0.47,0.06,0.4,443032.1486,7206635.717,64,0.0378,0.00271,17.772048,1.2741336,4,0.111111111,1.974672,0.1415704
TL47 NPF-10 0-20cm,TL47 NPF-10,0,20,20,10,0.55,10.78,0.53,20.35,0.79,0.23,0.97,442764.7193,7206602.935,10,0.1078,0.0053,11.858,0.583,20,1,11.858,0.583
