Sample,depth,depthInterval,Tray,Cell,weight,Date,corr d13C,STDEV,corr. d15N,STDEV,% C,STDEV,% N',STDEV,C/N,STDEV,lat,lon,ele,bulkdensity
KR_Pit1_20cmBD,20,20,1,A9,2.329,3/22/2022,-28.25,0.18,N/A,N/A,6.09,1.05,0.29,0.11,20.99,0.3,65.43126902,-164.705229,187.656342,0.947455387
KR_Pit1_30-35cmBD,35,5,1,A6,2.259,3/22/2022,-29.93,0.18,N/A,N/A,2.76,1.05,0.157,0.11,17.58,0.3,65.43126902,-164.705229,187.656342,1.374752148
KR_Pit1_40-45cmBD,45,5,1,D3,2.143,3/23/2022,-28.01,0.16,9.22,0.38,21.18,0.39,1.004,0.05,21.09,0.22,65.43126902,-164.705229,187.656342,0.410552985
KR_Pit1_65cm,65,10,1,D7,2.187,3/23/2022,-27.09,0.16,4.89,0.38,25.27,0.39,1.56,0.05,16.2,0.22,65.43126902,-164.705229,187.656342,0.314142857
KR_Pit1_80cm,80,10,1,A2,2.479,3/22/2022,-32.28,0.18,N/A,N/A,1.21,1.05,0.121,0.11,9.97,0.3,65.43126902,-164.705229,187.656342,0.478857143
KR_Pit1_125-130cm,130,10,1,A7,2.241,3/22/2022,-32.38,0.18,N/A,N/A,1.22,1.05,0.102,0.11,11.92,0.3,65.43126902,-164.705229,187.656342,0.934904762
KR_Pit1_170cm,170,10,1,D8,2.115,3/23/2022,-29.31,0.16,N/A,N/A,3.36,0.39,0.214,0.05,15.72,0.22,65.43126902,-164.705229,187.656342,0.791571429
KR_Pit2_0-20cmBD,20,20,1,E5,2.315,3/23/2022,-27.27,0.16,5.4,0.38,33.73,0.39,1.239,0.05,27.22,0.22,65.43118201,-164.704203,162.177338,0.111380952
KR_Pit2_35cmBD,35,20,1,C8,2.057,3/23/2022,-29.24,0.16,N/A,N/A,4.04,0.39,0.186,0.05,21.75,0.22,65.43118201,-164.704203,162.177338,0.441333333
KR_Pit2_50cmBD,50,10,1,C4,1.891,3/22/2022,-30.75,0.18,N/A,N/A,1.07,1.05,0.054,0.11,19.66,0.3,65.43118201,-164.704203,162.177338,0.597714286
KR_Pit2_75cm,75,10,1,D9,1.854,3/23/2022,-29.41,0.16,N/A,N/A,3.9,0.39,0.223,0.05,17.45,0.22,65.43118201,-164.704203,162.177338,0.451190476
KR_Pit2_90cm,90,10,1,A11,2.22,3/22/2022,-29.61,0.18,N/A,N/A,3.92,1.05,0.207,0.11,18.89,0.3,65.43118201,-164.704203,162.177338,0.4
KR_Pit2_110cm,110,10,1,E3,1.994,3/23/2022,-29.02,0.16,N/A,N/A,3.15,0.39,0.161,0.05,19.57,0.22,65.43118201,-164.704203,162.177338,1.070095238
KR_Pit2_120cm,120,10,1,A1,1.966,3/22/2022,-29.93,0.18,N/A,N/A,3.01,1.05,0.207,0.11,14.5,0.3,65.43118201,-164.704203,162.177338,0.674714286
KR_Pit2_140cm,140,10,1,D6,2.247,3/23/2022,-29.41,0.16,N/A,N/A,4.12,0.39,0.239,0.05,17.21,0.22,65.43118201,-164.704203,162.177338,0.330190476
KR_Pit3_15-20cmBD,20,10,1,D4,2.341,3/23/2022,-26.55,0.16,7.51,0.38,34.89,0.39,1.496,0.05,23.32,0.22,65.43106601,-164.703612,214.1035,0.183851069
KR_Pit3_40cmBD,40,10,1,A12,1.921,3/22/2022,-30.09,0.18,N/A,N/A,3.18,1.05,0.153,0.11,20.8,0.3,65.43106601,-164.703612,214.1035,1.175038555
KR_Pit3_45-55cm,55,10,1,B12,2.212,3/22/2022,-30,0.18,N/A,N/A,3.8,1.05,0.137,0.11,27.64,0.3,65.43106601,-164.703612,214.1035,0.454333333
KR_Pit3_60-65cm,65,10,1,E1,1.878,3/23/2022,-28.31,0.16,N/A,N/A,6.65,0.39,0.339,0.05,19.64,0.22,65.43106601,-164.703612,214.1035,0.68852381
KR_Pit3_65cm,65,10,1,A5,2.074,3/22/2022,-28.63,0.18,N/A,N/A,6.61,1.05,0.373,0.11,17.71,0.3,65.43106601,-164.703612,214.1035,0.68852381
KR_Pit3_90cm,90,10,1,B1,1.844,3/22/2022,-29.35,0.18,N/A,N/A,3.05,1.05,0.192,0.11,15.92,0.3,65.43106601,-164.703612,214.1035,0.778428571
KR_Pit3_140-145cm,145,10,1,B11,2.188,3/22/2022,-28.86,0.18,N/A,N/A,6.51,1.05,0.289,0.11,22.5,0.3,65.43106601,-164.703612,214.1035,0.562571429
KR_Pit3_160-170cm,170,10,1,B2,1.991,3/22/2022,-30.08,0.18,N/A,N/A,2.73,1.05,0.17,0.11,16.1,0.3,65.43106601,-164.703612,214.1035,0.612380952
