SampleLocationName,Top_cm,Bottom_cm,Thickness_cm,%C,BulkDensity_gcm3,C_stock_kg_m2
KR_Pit1,0,20,20,6.09,0.947455387,1.1540006613659999
KR_Pit1,20,35,15,2.76,1.1611037675,0.48069695974500004
KR_Pit1,35,45,10,21.18,0.8926525665,1.890638135847
KR_Pit1,45,50,5,25.27,0.398501719,0.5035069219564999
KR_Pit2,0,20,20,33.73,0.111380952,0.751375902192
KR_Pit2,20,35,15,4.04,0.2763571425,0.16747242835499998
KR_Pit2,35,50,15,1.07,0.5195238095,0.08338357142475
KR_Pit3,0,20,20,34.89,0.183851069,1.282912759482
KR_Pit3,20,40,20,3.18,0.6794448120000001,0.432126900432
KR_Pit3,40,50,10,3.8,0.934803481,0.35522532277999996
KR_Pit4,0,22,22,26.18,0.266468385,1.5347513102459998
KR_Pit4,22,30,8,9.09,0.4667327605,0.3394080634356
KR_Pit4,30,41,11,5.25,0.535189044,0.30907167291
KR_Pit4,41,50,9,8.8,0.40987074817857144,0.3246176325574286
KR_Pit5,0,15,15,10.23,0.387860762,0.595172339289
KR_Pit5,15,45,30,5.37,0.5904384225,0.9511962986475
KR_Pit5,45,50,5,6.5,0.7642462267142858,0.24838002368214288
