SampleName,SampleLocationName,Top_cm,Bottom_cm,depthInterval,%C,stdev%C,%N,stdev%N,C/N,stdevC/N,lat,lon,ele,BD_measurement_cm,BulkDensity_gcm3,X,Y,3m,30m_total_curv,3m_slope,15m_plan_curv,Hillshade,15m_slope,15m_gauss_curv,3m_profile_curv,3m_total_curv,30m_gauss_curv,15m_mean_curv,15m,3m_gauss_curv,15m_total_curv,30m_profile_curv,3m_mean_curv,15m_profile_curv,30m_plan_curv,Slope3m,Aspect,30m_slope,30m,3m_plan_curv,Drainage_areaQuinn_15m,30m_mean_curv
KR_Pit1_20cmBD,KR_Pit1,0,20,20,6.09,1.05,0.29,0.11,20.99,0.3,65.43126902,-164.705229,187.656342,20,0.947455387,513675.8704,7256552.045,178.70398,0.00131423,0.137120781,0.029697738,164.3333333,0.081073004,4.65E-07,0.026518665,-0.034590168,1.24E-07,0.001073877,178.73663,-7.56E-05,0.002153192,-0.000139662,-0.016361508,0.000151648,0.017000683,7.7698517,145.38736,0.072618294,179.5906,-0.059081,879.5902,0.000655183
KR_Pit1_30-35cmBD,KR_Pit1,20,35,5,2.76,1.05,0.157,0.11,17.58,0.3,65.43126902,-164.705229,187.656342,35,1.374752148,513675.8704,7256552.045,178.70398,0.00131423,0.137120781,0.029697738,164.3333333,0.081073004,4.65E-07,0.026518665,-0.034590168,1.24E-07,0.001073877,178.73663,-7.56E-05,0.002153192,-0.000139662,-0.016361508,0.000151648,0.017000683,7.7698517,145.38736,0.072618294,179.5906,-0.059081,879.5902,0.000655183
KR_Pit1_40-45cmBD,KR_Pit1,35,45,5,21.18,0.39,1.004,0.05,21.09,0.22,65.43126902,-164.705229,187.656342,45,0.410552985,513675.8704,7256552.045,178.70398,0.00131423,0.137120781,0.029697738,164.3333333,0.081073004,4.65E-07,0.026518665,-0.034590168,1.24E-07,0.001073877,178.73663,-7.56E-05,0.002153192,-0.000139662,-0.016361508,0.000151648,0.017000683,7.7698517,145.38736,0.072618294,179.5906,-0.059081,879.5902,0.000655183
KR_Pit1_65cm,KR_Pit1,45,65,10,25.27,0.39,1.56,0.05,16.2,0.22,65.43126902,-164.705229,187.656342,65,0.314142857,513675.8704,7256552.045,178.70398,0.00131423,0.137120781,0.029697738,164.3333333,0.081073004,4.65E-07,0.026518665,-0.034590168,1.24E-07,0.001073877,178.73663,-7.56E-05,0.002153192,-0.000139662,-0.016361508,0.000151648,0.017000683,7.7698517,145.38736,0.072618294,179.5906,-0.059081,879.5902,0.000655183
KR_Pit1_80cm,KR_Pit1,65,80,10,1.21,1.05,0.121,0.11,9.97,0.3,65.43126902,-164.705229,187.656342,80,0.478857143,513675.8704,7256552.045,178.70398,0.00131423,0.137120781,0.029697738,164.3333333,0.081073004,4.65E-07,0.026518665,-0.034590168,1.24E-07,0.001073877,178.73663,-7.56E-05,0.002153192,-0.000139662,-0.016361508,0.000151648,0.017000683,7.7698517,145.38736,0.072618294,179.5906,-0.059081,879.5902,0.000655183
KR_Pit1_125-130cm,KR_Pit1,80,130,10,1.22,1.05,0.102,0.11,11.92,0.3,65.43126902,-164.705229,187.656342,130,0.934904762,513675.8704,7256552.045,178.70398,0.00131423,0.137120781,0.029697738,164.3333333,0.081073004,4.65E-07,0.026518665,-0.034590168,1.24E-07,0.001073877,178.73663,-7.56E-05,0.002153192,-0.000139662,-0.016361508,0.000151648,0.017000683,7.7698517,145.38736,0.072618294,179.5906,-0.059081,879.5902,0.000655183
KR_Pit1_170cm,KR_Pit1,130,170,10,3.36,0.39,0.214,0.05,15.72,0.22,65.43126902,-164.705229,187.656342,170,0.791571429,513675.8704,7256552.045,178.70398,0.00131423,0.137120781,0.029697738,164.3333333,0.081073004,4.65E-07,0.026518665,-0.034590168,1.24E-07,0.001073877,178.73663,-7.56E-05,0.002153192,-0.000139662,-0.016361508,0.000151648,0.017000683,7.7698517,145.38736,0.072618294,179.5906,-0.059081,879.5902,0.000655183
KR_Pit2_0-20cmBD,KR_Pit2,0,20,20,33.73,0.39,1.239,0.05,27.22,0.22,65.43118201,-164.704203,162.177338,20,0.111380952,513723.5168,7256542.571,175.56487,0.001354709,0.184927471,0.03923392,167.2222222,0.085137053,1.52E-06,0.036111606,-0.034836192,3.49E-08,0.001137122,175.4241,-0.000308973,0.00227322,-0.000133652,-0.015391555,-4.84E-05,0.017669311,10.357472,171.6752,0.074520793,176.0473,0.022670072,1009.7507,0.000675681
KR_Pit2_35cmBD,KR_Pit2,20,35,20,4.04,0.39,0.186,0.05,21.75,0.22,65.43118201,-164.704203,162.177338,35,0.441333333,513723.5168,7256542.571,175.56487,0.001354709,0.184927471,0.03923392,167.2222222,0.085137053,1.52E-06,0.036111606,-0.034836192,3.49E-08,0.001137122,175.4241,-0.000308973,0.00227322,-0.000133652,-0.015391555,-4.84E-05,0.017669311,10.357472,171.6752,0.074520793,176.0473,0.022670072,1009.7507,0.000675681
KR_Pit2_50cmBD,KR_Pit2,35,50,10,1.07,1.05,0.054,0.11,19.66,0.3,65.43118201,-164.704203,162.177338,50,0.597714286,513723.5168,7256542.571,175.56487,0.001354709,0.184927471,0.03923392,167.2222222,0.085137053,1.52E-06,0.036111606,-0.034836192,3.49E-08,0.001137122,175.4241,-0.000308973,0.00227322,-0.000133652,-0.015391555,-4.84E-05,0.017669311,10.357472,171.6752,0.074520793,176.0473,0.022670072,1009.7507,0.000675681
