SampleLocationName,Total_C_stock_kg_m2_0to50cm,Total_N_stock_kg_m2_0to50cm,X,Y,slope
TL47 22-01,19.81076255,1.243801478,443320.175,7206177.654,3.5172834
TL47 22-03,16.19813513,0.796865085,443327.876,7206682.477,14.084187
TL47 ALD Border Pit,37.62985,1.1133985,442445.144,7207075.373,16.678833
TL47 ALD Pit,6.2664,0.645672927,442445.144,7207075.373,16.678833
TL47 ALD Trench 1,14.2814,0.832724918,442445.144,7207075.373,16.678833
TL47 ALD Trench 2 ,20.6992,0.841259154,442445.144,7207075.373,16.678833
TL47 DoubleTree Pit 1,16.1568,1.085266916,442376.25,7206509.194,19.18076
TL47 FGLB-1,31.644225,1.622725,442690.453,7206747.269,13.606318
TL47 GullyPit 1,15.078375,1.089299358,442478.125,7206580.355,19.097397
TL47 Midslope Failure,10.377,0.832436004,442432.27,7206860.7,21.41047
TL47 NPF-1,20.88140533,1.455153733,443032.149,7206635.717,10.293542
TL47 NPF-10,16.458125,1.0038625,442764.719,7206602.935,14.088451
TL47 NPF-11,13.43374,0.852875,442280.811,7206507.473,20.086426
TL47 NPF-6,11.20490778,0.711385865,442558.028,7206537.794,15.962287
TL47 NPF-8,8.70609375,0.7378125,442286.989,7206509.583,20.05566
TL47-22-02,24.09820988,1.369860661,443327.495,7206662.419,12.378098
TL47-22-04,74.6828,1.87902,442836.911,7206335.131,11.577343
TL47-22-05,17.14824396,1.071410287,442931.557,7206297.648,8.663725
TL47_Slice1,22.89526317,1.5041,442490.672,7206851.662,19.837536
TL47_Slice2,12.97969304,0.990768,442465.513,7206797.748,17.521431
TL47_Slice3,21.33532252,1.660637594,442442.898,7206738.769,18.394537
TL47_Slice4,23.9926973,1.520502444,442483.359,7206731.858,20.187788
TL47_Slice5,35.58534432,1.92361934,442507.465,7206660.05,17.124397
TL47_Slice7,11.43590902,0.504463517,442671.65,7206658.006,16.13796
TL47_Slice8,10.06523803,0.409226,442744.512,7206647.02,12.553925
