year,deepest_sensor_depth_m,ID,Easting [m],Northing [m],deepest_always_above_zero,deepest_always_below_zero,mean_T_50cm [°C],mean_T_80cm [°C],mean_T_100cm [°C],deepest_0iso_m,ever_frozen,days_0iso_present,days_0iso_below_50cm,days_unfrozen_below_50cm,days_unfrozen,days_frozen_all,days_active_layer,notes,site
2022,-1.7,C0A3C3,442622.759,7206779.671,FALSE,TRUE,-0.222059449,-0.292916247,-0.292380122,-1.469154229,TRUE,213,162,90,0,133,140,,TL47
2022,-1.7,C12165,442921.083,7206631.869,FALSE,FALSE,0.475722134,0.284580592,0.201219992,-1.699999999,TRUE,218,121,121,24,143,154,,TL47
2022,-1.9,C1AC7C,442562.713,7206717.077,FALSE,FALSE,0.254103693,0.340018432,0.371602239,-1.847222222,TRUE,154,72,174,92,139,69,,TL47
2022,-1.7,C25936,442606.352,7206694.109,FALSE,TRUE,-1.688375352,-1.690057196,-1.627614348,-1.4,TRUE,219,163,56,0,130,154,,TL47
2022,-1.7,C35BC8,442308.79,7206502.683,FALSE,TRUE,-0.835960319,-0.867287348,-0.849739566,-1.693042453,TRUE,232,200,32,0,153,148,,TL47
2022,-1.7,C5A8A8,442509.397,7206740.347,FALSE,TRUE,-0.902123248,-0.875291686,-0.900174894,-1.585636856,TRUE,251,209,42,0,134,170,,TL47
2022,-1.9,C606A1,443056.112,7206604.05,FALSE,TRUE,-2.25004287,-2.397413628,-2.413432515,-1.136454682,TRUE,247,176,71,0,138,180,,TL47
2022,-1.9,C606A1,443056.112,7206604.05,FALSE,TRUE,-2.25004287,-2.397413628,-2.413432515,-1.136454682,TRUE,247,176,71,0,138,180,,TL47
2022,-1.3,C93D97,442911.431,7206764.845,FALSE,FALSE,0.427137446,0.602562737,0.698889002,-1.296212121,TRUE,259,137,175,53,73,118,,TL47
2022,-1.7,C98690,442591.381,7206723.448,FALSE,FALSE,-0.332376937,-0.231992949,-0.204163431,-1.7,TRUE,206,127,142,63,116,113,,TL47
2022,-1.7,C9B056,442311.178,7206465.443,FALSE,TRUE,-1.800259232,-1.912382925,-1.895459052,-1.545454545,TRUE,242,208,34,0,143,158,,TL47
2022,-1.3,CAA4CE,442733.952,7206640.709,FALSE,FALSE,-0.087785919,-0.111955843,-0.138036558,-1.3,TRUE,196,110,129,7,146,149,,TL47
2022,-1.7,CB730C,442361.346,7206816.571,FALSE,TRUE,-2.635445854,-2.806348085,-2.835256314,-1.082216495,TRUE,170,123,80,33,182,126,,TL47
2022,-1.7,CC24BF,442699.148,7206653.941,FALSE,TRUE,-1.439964594,-1.386927024,-1.353074821,-1.074137178,TRUE,250,181,69,0,99,156,,TL47
2022,-1.3,CD4D86,443045.582,7206869.71,FALSE,FALSE,-0.255288568,-0.36162608,-0.341023365,-1.3,TRUE,191,92,136,37,104,93,,TL47
2022,-1.7,CDE8C0,442328.646,7206686.356,FALSE,FALSE,1.641430508,1.411970131,1.291573093,-1.7,TRUE,237,130,202,95,53,69,,TL47
2022,-1.7,CEF27E,442335.382,7206506.984,TRUE,FALSE,1.894633641,1.892711877,1.895799835,,FALSE,0,,,106,0,,,TL47
2022,-1.7,D02A7A,442378.281,7206808.464,FALSE,TRUE,-3.120260718,-2.884713004,-2.668508045,-1.308527132,TRUE,211,160,69,18,156,141,,TL47
2022,-1.7,D217BF,442312.328,7206441.158,FALSE,TRUE,-2.497060494,-2.515267997,-2.423257022,-0.872777778,TRUE,223,143,80,0,162,163,,TL47
2022,-1.7,D32FDA,442559.025,7206722.986,FALSE,FALSE,-0.586311837,-0.52427723,-0.435840527,-1.699999999,TRUE,283,148,171,36,66,137,,TL47
2022,-1.7,D43F62,442312.053,7206451.884,FALSE,TRUE,-3.864921745,-3.599262683,-3.398909764,-0.911111111,TRUE,176,112,99,0,174,129,,TL47
2022,-1.9,D755FB,442593.969,7206719.685,FALSE,TRUE,0.581379839,0.031268791,-0.17657995,-1.776009501,TRUE,242,209,33,0,107,146,,TL47
2022,-1.7,DB6582,442588.233,7206717.047,FALSE,TRUE,0.293683945,0.027004832,-0.114822132,-1.652426343,TRUE,252,219,33,0,133,167,,TL47
2022,-1.3,DC5DCC,443055.276,7206616.256,FALSE,TRUE,-0.306491608,-0.483212004,-0.567398497,-0.970629699,TRUE,245,124,121,0,140,174,,TL47
2022,-1.7,DCCCB4,443054.387,7206551.433,FALSE,TRUE,0.148647146,-0.021512697,-0.146910176,-1.289354199,TRUE,241,186,55,0,144,179,,TL47
2022,-1.7,DD8AE8,442583.531,7206723.799,FALSE,FALSE,0.753813427,0.7781866,0.7121295,-1.689220628,TRUE,185,85,187,87,113,85,,TL47
