SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y
TL27-PF-1-0-40,TL27 PF Core 1 ,0,40,40,20,0.24815101,13.57187599,0.781860964,17.35690493,0.449342672,0.022057781,0.112077119,454923.1661,7178744.523
TL27-PF-1-40-63,TL27 PF Core 1 ,40,63,23,51,0.963792913,4.776389579,0.273874415,17.4386452,0.876559577,0.049088182,0.445832507,454923.1661,7178744.523
TL27-PF-1-63-80,TL27 PF Core 1 ,63,80,17,71,,9.933150476,0.625159883,15.89106646,0.380183294,0.026806656,0.081843567,454923.1661,7178744.523
TL27-NPF-3-0-40,TL27 NonPF Core 3,0,40,40,20,0.244728999,10.15888222,0.561469942,18.04863817,1.649234758,0.077288429,0.496594737,454827.9905,7178958.053
TL27-NPF-3-40-60,TL27 NonPF Core 3,40,60,20,50,1.088861905,1.097109006,0.089501201,12.30399439,0.094475316,0.012475226,0.659430252,454827.9905,7178958.053
TL27-NPF-3-60-100,TL27 NonPF Core 3,60,100,40,80,0.617617839,0.806470815,0.086637434,9.701986516,0.112406021,0.02385748,2.283914363,454827.9905,7178958.053
TL27-PF-11-0-20,TL27 PF Core 11,0,20,20,10,0.202892151,40.47745731,2.234319409,18.16196798,N/A,0.047521901,N/A,454168.6817,7180149.47
TL27-PF-11-20-40,TL27 PF Core 11,20,40,20,30,1.281488023,9.184533735,0.386657463,23.8898558,0.189678977,0.038010466,2.099419239,454168.6817,7180149.47
TL27-PF-11-40-70,TL27 PF Core 11,40,70,30,55,,7.172136071,0.249007548,28.83289452,0.114019339,0.011849898,0.954936916,454168.6817,7180149.47
TL27-PF-11-70-90,TL27 PF Core 11,70,90,20,80,0.618086178,2.038612334,0.054132318,37.76185514,0.118062928,0.004236499,2.7842482,454168.6817,7180149.47
TL27-PF-11-90-100,TL27 PF Core 11,90,100,10,95,0.747574494,1.476137277,0.039111832,37.95446883,0.040028521,0.003492326,3.758554617,454168.6817,7180149.47
TL27-PF-12-0-15,TL27 PF Core 12,0,15,15,7,0.177503036,11.02780494,0.611159771,17.94660171,2.35716632,0.103680627,0.944657232,454149.8355,7180175.169
Tl27-PF-12-15-40,TL27 PF Core 12,15,40,25,27,,1.568265911,0.174004872,9.117791647,0.155743761,0.027690428,1.336391715,454149.8355,7180175.169
TL27-PF-12-40-70,TL27 PF Core 12,40,70,30,55,1.36416823,3.938133646,0.212749582,18.47610757,0.438215491,0.015540943,0.727415534,454149.8355,7180175.169
TL27-PF-12-70-90,TL27 PF Core 12,70,90,20,80,1.103814596,4.357388797,0.230814101,18.90611251,0.105360405,0.013718832,0.708353499,454149.8355,7180175.169
TL27-NPF-13-0-20,TL27 NonPF Core 13,0,20,20,10,0.600949332,3.726402704,0.121496843,30.55216583,0.858134269,0.024330627,0.929476014,454134.5091,7180197.471
TL27-NPF-13-20-50,TL27 NonPF Core 13,20,50,30,35,1.297163042,1.670459195,0.044039529,37.93032611,0.088399299,0.002312168,0.063070104,454134.5091,7180197.471
TL27-NPF-13-50-70,TL27 NonPF Core 13,50,70,20,60,,4.217693861,0.180870816,23.99308423,1.399291374,0.079803076,2.292647084,454134.5091,7180197.471
TL27-NPF-13-70-100,TL27 NonPF Core 13,70,100,30,85,1.002538912,3.273212291,0.147637829,22.24065647,0.046226854,0.011111193,1.418481616,454134.5091,7180197.471
TL27-PF-14-0-10,TL27 PF Core 14,0,10,10,5,0.650954852,26.5976214,1.555120429,17.1038869,1.680987504,0.096586562,0.239600884,454081.3338,7180182.565
TL27-PF-14-10-20,TL27 PF Core 14,10,20,10,15,1.219671045,9.281837906,0.370257407,25.14588087,0.827176897,0.04572315,0.946606675,454081.3338,7180182.565
TL27-PF-14-20-35,TL27 PF Core 14,20,35,15,27,,10.42777571,0.568332345,18.41731243,1.220005316,0.088168836,0.670098897,454081.3338,7180182.565
TL27-PF-14-35-60,TL27 PF Core 14,35,60,25,47,0.552710012,19.7105332,1.127126552,17.51702818,0.318406725,0.060689867,0.865699428,454081.3338,7180182.565
TL27-PF-14-60-73,TL27 PF Core 14,60,73,13,66,0.50267965,14.59546848,0.670636787,21.79560384,0.652267811,0.033409051,1.336662487,454081.3338,7180182.565
TL27-PF-14-73-86,TL27 PF Core 14,73,86,13,79,0.501996507,18.05799931,0.75671682,23.98039053,1.495190767,0.101603255,1.309558394,454081.3338,7180182.565
TL27-PF-14-86-97,TL27 PF Core 14,86,97,11,91,0.607172982,19.28781262,0.939351902,20.50797818,2.127573117,0.083963145,0.582251842,454081.3338,7180182.565
TL27-PF-15-0-15,TL27 PF Core 15,0,15,15,7,0.183353571,25.69993299,1.181147268,21.79559837,0.53098657,0.071125586,0.941568951,454917.1268,7178742.05
TL27-PF-15-15-30,TL27 PF Core 15,15,30,15,22,,17.68562028,1.28022337,13.81673292,0.283799853,0.030483917,0.183686288,454917.1268,7178742.05
TL27-PF-15-30-50,TL27 PF Core 15,30,50,20,40,0.31857821,7.75260845,0.52629235,14.7342933,1.192153465,0.081765247,0.460385607,454917.1268,7178742.05
TL27-PF-15-50-60,TL27 PF Core 15,50,60,10,55,1.114647056,7.432660779,0.487999271,15.23711404,0.121495752,0.016599203,0.275995176,454917.1268,7178742.05
TL27-PF-16-0-10,TL27 PF Core 16,0,10,10,5,0.184678221,35.60129066,2.220402133,16.42481052,1.014140887,0.094393428,0.239493743,454923.3143,7178738.502
TL27-PF-16-10-25,TL27 PF Core 16,10,25,15,17,,19.38973981,1.237322632,15.67024821,0.412748336,0.023301895,0.043984489,454923.3143,7178738.502
TL27-PF-16-25-45,TL27 PF Core 16,25,45,20,35,0.39982338,9.380644305,0.589395071,15.91045723,0.550635232,0.024686954,0.435072056,454923.3143,7178738.502
TL27-PF-16-45-60,TL27 PF Core 16,45,60,15,52,0.978736951,10.13984332,0.720696337,14.06380196,1.871421572,0.130503752,0.048716812,454923.3143,7178738.502
TL27-NPF-4-0-20,TL27 NonPF Core 4,0,20,20,10,0.238988851,8.272709,0.55601034,14.87869633,0.14172595,0.015164002,0.223351537,454800.1835,7179054.213
TL27-NPF-4-20-40,TL27 NonPF Core 4,20,40,20,30,0.765647422,0.766349,0.100462314,7.628223683,0.213902236,0.021526427,0.618681035,454800.1835,7179054.213
TL27-NPF-4-40-60,TL27 NonPF Core 4,40,60,20,50,,0.407699,0.070297819,5.799596752,0.053308027,0.001976568,0.790622398,454800.1835,7179054.213
TL27-NPF-4-60-80,TL27 NonPF Core 4,60,80,20,70,1.144938735,0.379456,0.177761338,2.134637396,0.045277386,0.048825252,0.3446056,454800.1835,7179054.213
TL27-NPF-4-80-100,TL27 NonPF Core 4,80,100,20,90,,0.417534,0.257816271,1.619502129,0.022130951,0.050424228,0.235407903,454800.1835,7179054.213
TL27-NPF-5-0-40,TL27 NonPF Core 5,0,40,40,20,0.239871,4.155044,0.29707716,13.98641351,0.982853262,0.036787136,1.640936715,454702.87,7179098.696
TL27-NPF-5-40-60,TL27 NonPF Core 5,40,60,20,50,,1.562521,0.196480657,7.952543659,0.000713908,0.017036693,0.706162043,454702.87,7179098.696
TL27-NPF-5-60-85,TL27 NonPF Core 5,60,85,25,72,,0.521129,0.175286939,2.973005304,0.144799246,0.01881471,0.668302118,454702.87,7179098.696
TL27-NPF-6-0-35,TL27 NonPF Core 6,0,35,35,17,0.188431394,4.468761,0.38754939,11.53081676,1.298966566,0.08436971,1.024282728,454795.3518,7178932.015
TL27-NPF-6-35-70,TL27 NonPF Core 6,35,70,35,52,,3.835373,0.330358537,11.60972872,0.432349399,0.017715733,0.983036188,454795.3518,7178932.015
TL27-NPF-6-70-100,TL27 NonPF Core 6,70,100,30,85,0.810078376,8.785823,0.582119639,15.09281324,1.87412898,0.112593521,0.391176922,454795.3518,7178932.015
TL27-NPF-7-0-40,TL27 NonPF Core 7,0,40,40,20,0.539316334,4.563142,0.335626248,13.59590328,0.74120291,0.039602901,0.594607927,454781.0551,7178960.205
TL27-NPF-7-40-80,TL27 NonPF Core 7,40,80,40,60,,0.448344,0.165127295,2.715141667,0.107330174,0.034705576,1.174595165,454781.0551,7178960.205
TL27-NPF-7-80-100,TL27 NonPF Core 7,80,100,20,90,,0.426234,0.059697001,7.139956644,0.067521655,0.019038226,3.086512263,454781.0551,7178960.205
TL27-NPF-8-0-40,TL27 NonPF Core 8,0,40,40,20,0.243183574,4.492125,0.286714557,15.66758605,1.1565755,0.083324181,1.080316254,454802.4897,7178928.341
TL27-NPF-8-40-65,TL27 NonPF Core 8,40,65,25,52,0.981896457,1.336841,0.140721423,9.499911062,0.217937226,0.01714724,2.726542374,454802.4897,7178928.341
TL27-NPF-8-65-100,TL27 NonPF Core 8,65,100,35,82,1.031901976,1.597374,0.150982887,10.57983481,0.100438777,0.004556088,0.594785086,454802.4897,7178928.341
