SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y
TL27-PF-1-0-40,TL27 PF Core 1 ,0,40,40,20,0.24815101,13.57,0.78,17.36,0.45,0.02,0.11,454923.1661,7178744.523
TL27-PF-1-40-63,TL27 PF Core 1 ,40,63,23,51,0.963792913,4.78,0.27,17.44,0.88,0.05,0.45,454923.1661,7178744.523
TL27-PF-1-63-80,TL27 PF Core 1 ,63,80,17,71,,9.93,0.63,15.89,0.38,0.03,0.08,454923.1661,7178744.523
TL27-NPF-3-0-40,TL27 NonPF Core 3,0,40,40,20,0.244728999,10.16,0.56,18.05,1.65,0.08,0.50,454827.9905,7178958.053
TL27-NPF-3-40-60,TL27 NonPF Core 3,40,60,20,50,1.088861905,1.10,0.09,12.30,0.09,0.01,0.66,454827.9905,7178958.053
TL27-NPF-3-60-100,TL27 NonPF Core 3,60,100,40,80,0.617617839,0.81,0.09,9.70,0.11,0.02,2.28,454827.9905,7178958.053
TL27-PF-11-0-20,TL27 PF Core 11,0,20,20,10,0.202892151,40.48,2.23,18.16,N/A,0.05,N/A,454168.6817,7180149.47
TL27-PF-11-20-40,TL27 PF Core 11,20,40,20,30,1.281488023,9.18,0.39,23.89,0.19,0.04,2.10,454168.6817,7180149.47
TL27-PF-11-40-70,TL27 PF Core 11,40,70,30,55,,7.17,0.25,28.83,0.11,0.01,0.95,454168.6817,7180149.47
TL27-PF-11-70-90,TL27 PF Core 11,70,90,20,80,0.618086178,2.04,0.05,37.76,0.12,0.00,2.78,454168.6817,7180149.47
TL27-PF-11-90-100,TL27 PF Core 11,90,100,10,95,0.747574494,1.48,0.04,37.95,0.04,0.00,3.76,454168.6817,7180149.47
TL27-PF-12-0-15,TL27 PF Core 12,0,15,15,7,0.177503036,11.03,0.61,17.95,2.36,0.10,0.94,454149.8355,7180175.169
Tl27-PF-12-15-40,TL27 PF Core 12,15,40,25,27,,1.57,0.17,9.12,0.16,0.03,1.34,454149.8355,7180175.169
TL27-PF-12-40-70,TL27 PF Core 12,40,70,30,55,1.36416823,3.94,0.21,18.48,0.44,0.02,0.73,454149.8355,7180175.169
TL27-PF-12-70-90,TL27 PF Core 12,70,90,20,80,1.103814596,4.36,0.23,18.91,0.11,0.01,0.71,454149.8355,7180175.169
TL27-NPF-13-0-20,TL27 NonPF Core 13,0,20,20,10,0.600949332,3.73,0.12,30.55,0.86,0.02,0.93,454134.5091,7180197.471
TL27-NPF-13-20-50,TL27 NonPF Core 13,20,50,30,35,1.297163042,1.67,0.04,37.93,0.09,0.00,0.06,454134.5091,7180197.471
TL27-NPF-13-50-70,TL27 NonPF Core 13,50,70,20,60,,4.22,0.18,23.99,1.40,0.08,2.29,454134.5091,7180197.471
TL27-NPF-13-70-100,TL27 NonPF Core 13,70,100,30,85,1.002538912,3.27,0.15,22.24,0.05,0.01,1.42,454134.5091,7180197.471
TL27-PF-14-0-10,TL27 PF Core 14,0,10,10,5,0.650954852,26.60,1.56,17.10,1.68,0.10,0.24,454081.3338,7180182.565
TL27-PF-14-10-20,TL27 PF Core 14,10,20,10,15,1.219671045,9.28,0.37,25.15,0.83,0.05,0.95,454081.3338,7180182.565
TL27-PF-14-20-35,TL27 PF Core 14,20,35,15,27,,10.43,0.57,18.42,1.22,0.09,0.67,454081.3338,7180182.565
TL27-PF-14-35-60,TL27 PF Core 14,35,60,25,47,0.552710012,19.71,1.13,17.52,0.32,0.06,0.87,454081.3338,7180182.565
TL27-PF-14-60-73,TL27 PF Core 14,60,73,13,66,0.50267965,14.60,0.67,21.80,0.65,0.03,1.34,454081.3338,7180182.565
