SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,c_frac,cstock
TL47 FGLB-1 0-10cm,TL47 FGLB-1,0,10,10,5,0.55,33.85,1.62,20.9,0.79,0.23,0.97,442690.453,7206747.269,0.3385,18.6175
TL47 FGLB-1 10-18cm,TL47 FGLB-1,10,18,8,14,,15.92,0.805,19.77,0.79,0.23,0.97,442690.453,7206747.269,0.1592,0
TL47 FGLB-1 40-60cm,TL47 FGLB-1,40,60,20,50,1.0875,2.39,0.188,12.75,0.79,0.23,0.97,442690.453,7206747.269,0.0239,5.19825
TL47 FGLB-1 60-70cm,TL47 FGLB-1,60,70,10,65,1.306,1.65,0.124,13.26,0.47,0.06,0.4,442690.453,7206747.269,0.0165,2.1549
TL47 NPF-1 0-10cm,TL47 NPF-1,0,10,10,5,0.55,5.651875,0.98,16.57,0.47,0.06,0.4,443032.1486,7206635.717,0.1623,8.9265
TL47 NPF-1 10-23cm,TL47 NPF-1,10,23,13,16.5,1.1,4.87,0.372,13.4,0.47,0.06,0.4,443032.1486,7206635.717,0.0498,7.1214
TL47 NPF-1 23-33cm,TL47 NPF-1,23,33,10,28,0.770173308,1.09,0.091,12.03,0.47,0.06,0.4,443032.1486,7206635.717,0.0109,0.839488906
TL47 NPF-1 33-46 cm,TL47 NPF-1,33,46,13,39.5,1.0875,3.02,0.24,12.62,0.47,0.06,0.4,443032.1486,7206635.717,0.0302,4.269525
TL47 NPF-1 46-82cm,TL47 NPF-1,46,82,36,64,1.306,3.78,0.271,13.93,0.47,0.06,0.4,443032.1486,7206635.717,0.0378,17.772048
TL47 NPF-10 0-20cm,TL47 NPF-10,0,20,20,10,0.55,10.78,0.53,20.35,0.79,0.23,0.97,442764.7193,7206602.935,0.1078,11.858
TL47 NPF-10 20-52 cm,TL47 NPF-10,20,52,32,36,1.0875,1.41,0.129,10.96,0.79,0.23,0.97,442764.7193,7206602.935,0.0141,4.9068
TL47 NPF-10 52-90cm,TL47 NPF-10,52,90,38,71,1.306,1.17,0.116,10.1,0.47,0.06,0.4,442764.7193,7206602.935,0.0117,5.806476
TL47 NPF-6 0-17cm,TL47 NPF-6,0,17,17,8.5,0.55,6.19,0.342,18.07,0.79,0.23,0.97,442558.0278,7206537.794,0.0619,5.78765
TL47 NPF-6 17-40cm,TL47 NPF-6,17,40,12,28.5,0.9656695,1.45,0.097,14.91,0.47,0.06,0.4,442558.0278,7206537.794,0.0145,1.68026493
TL47 NPF-6 40-70cm,TL47 NPF-6,40,70,25,55,1.0875,2.02,0.162,12.48,0.47,0.06,0.4,442558.0278,7206537.794,0.0202,5.491875
TL47 NPF-6 70-100cm,TL47 NPF-6,70,100,30,85,1.306,1.7,0.125,13.61,0.47,0.06,0.4,442558.0278,7206537.794,0.017,6.6606
TL47 NPF-8 0-15cm,TL47 NPF-8,0,15,15,7.5,0.55,4.9675,0.173,12.91,0.47,0.06,0.4,442286.9891,7206509.583,0.0223,1.83975
TL47 NPF-8 15-30cm,TL47 NPF-8,15,30,15,22.5,1.1,4.98,0.164,14.34,0.47,0.06,0.4,442286.9891,7206509.583,0.0235,3.8775
TL47 NPF-8 32-50cm,TL47 NPF-8,30,50,20,40,1.0875,3.44,0.181,10.08,0.47,0.06,0.4,442286.9891,7206509.583,0.0183,3.98025
TL47 NPF-8 50-65cm,TL47 NPF-8,50,65,15,57.5,,1.83,0.255,13.5,0.47,0.06,0.4,442286.9891,7206509.583,0.0344,0
TL47 NPF-8 65-85cm,TL47 NPF-8,65,85,20,75,,4.2,0.296,14.19,0.47,0.06,0.4,442286.9891,7206509.583,0.042,0
TL47 NPF-8 85-100 cm,TL47 NPF-8,85,100,15,92.5,1.306,0.67,0.068,9.96,0.47,0.06,0.4,442286.9891,7206509.583,0.0067,1.31253
TL47 NPF-11 0-10cm,TL47 NPF-11,0,10,10,5,0.55,9.14,0.447,20.44,0.79,0.23,0.97,"442280.8113	7206507.473",,0.0914,5.027
TL47 NPF-11 10-30cm,TL47 NPF-11,10,30,20,20,1.0875,2.34,0.159,14.71,0.79,0.23,0.97,442280.811,7206507.47,0.0234,5.0895
TL47 NPF-11 30-70cm,TL47 NPF-11,30,70,40,50,1.306,1.27,0.1,12.65,0.79,0.23,0.97,442280.811,7206507.47,0.0127,6.63448
TL47_Slice2_0-30cm,TL47_Slice2,0,30,30,15,0.5,7.372935072,0.487,15.13949707,0.426661231,0.037628352,0.978073011,442465.5127,7206797.748,0.073729351,11.05940261
TL47_Slice2_30-50cm,TL47_Slice2,30,50,20,40,1.058,0.907509657,0.123,7.378127293,0.107091256,0.015635105,0.108281574,442465.5127,7206797.748,0.009075097,1.920290434
TL47_Slice3_0-30cm,TL47_Slice3,0,30,30,15,0.770173308,8.1567467,0.607,13.43780346,0.877458279,0.067719644,0.05322237,442442.8978,7206738.769,0.081567467,18.84632577
TL47_Slice3_30-50cm,TL47_Slice3,30,50,20,40,1.058,1.17627446,0.122,9.641593934,,,,442442.8978,7206738.769,0.011762745,2.488996757
TL47_Slice5_0-30cm,TL47_Slice5,0,30,30,15,0.770173308,13.86054705,0.795,17.43465038,,,,442507.4654,7206660.05,0.138605471,32.02507012
TL47_Slice5_30-60cm,TL47_Slice5,30,60,30,45,1.058,1.682549247,0.041,41.03778651,0.592774547,0.038318701,27.414395,442507.4654,7206660.05,0.016825492,5.34041131
TL47_Slice7_0-60cm,TL47_Slice7,0,60,60,30,0.770173308,2.969697574,0.131,22.66944713,0.527941036,0.02214407,0.197884563,442671.6503,7206658.006,0.029696976,13.72309083
TL47_Slice8_0-30cm,TL47_Slice8,0,30,30,15,0.97,2.033297288,0.089,22.84603694,0.373619228,0.022937979,1.777900508,442744.5118,7206647.02,0.020332973,5.916895108
TL47_Slice8_30-60cm,TL47_Slice8,30,60,30,45,1.058,1.960464518,0.071,27.61217631,0.11726806,0.005947812,0.705195636,442744.5118,7206647.02,0.019604645,6.22251438
TL47_Slice1_0-80cm,TL47_Slice1,0,80,80,40,0.52,8.80587045,0.5785,15.22190225,1.648088839,0.078595419,0.788325694,442490.672,7206851.66,0.088058705,36.63242107
TL47 ALD Pit 0-20cm,TL47 ALD Pit,0,20,20,10,1,1.03,0.103093568,10.0223929,0.39449823,0.054284457,0.224980246,442445.144,7207075.373,0.0103,2.06
TL47 ALD Pit 20-40cm,TL47 ALD Pit,20,40,20,30,1.1,1.28,0.12046392,10.60539663,0.39449823,0.054284457,0.224980246,442445.144,7207075.373,0.0128,2.816
TL47 ALD Pit 40-60cm,TL47 ALD Pit,40,60,20,50,1.58,0.88,0.110420992,7.965472144,0.214193506,0.026771108,0.187279883,442445.144,7207075.373,0.0088,2.7808
TL47 ALD Pit 60-100cm,TL47 ALD Pit,60,100,40,80,,0.2,0.061832446,3.256948402,0.39449823,0.054284457,0.224980246,442445.144,7207075.373,0.002,0
