Name,Person,also known as,description,depth (cm) min,depth (cm) max,material,Date cal BP,Date unc BP,NOSAMS age,NOSAMS err,lon,lat
kk1-210-220,Eitan,kk1-210-220,"14C Age: 2460 +/- 30 BP
Sample Depth: 210 -220",210,220,,2560,30,,,-164.6737727,65.4332587
TP2-30-39,Eitan,TP2-30-39,"Radio Carbon Age: 3380 +/- 30 BP
Depth: 30-39 cm",30,39,,3380,30,,,-166.162672,65.02715365
TP4-163-177,Eitan,TP4-163-177,"Radio Carbon Age: 4130 +/- 30 BP
Depth: 163-177 cm",163,177,,4130,30,,,-166.1537854,65.02841199
TL47 Core 11,Eitan,TR47COR11_53_61,"Depth/Ages: 
53-61 cm  	500 +/- 30 BP
83-87 cm	1220 +/- 30 BP
98-103 cm	1620 +/- 30 BP",53,61,,500,30,,,-166.206706,64.978415
TL47 Core 11,Eitan,TR47COR11_83_87,"Depth/Ages: 
53-61 cm  	500 +/- 30 BP
83-87 cm	1220 +/- 30 BP
98-103 cm	1620 +/- 30 BP",83,87,,1220,30,,,-166.206706,64.978415
TL47 Core 11,Eitan,TR47COR11_98_103,"Depth/Ages: 
53-61 cm  	500 +/- 30 BP
83-87 cm	1220 +/- 30 BP
98-103 cm	1620 +/- 30 BP",98,103,,1620,30,,,-166.206706,64.978415
Scarp Headwall,Eitan,TR47_SC1_223_wood,"Depth Material Age
223 cm Wood Fragment		1790 +/- 30 BP
223 cm Organic Sediment		2200 +/- 30 BP
278 cm Wood Fragment 		2450 +/- 30 BP
278 cm Organic Sediment	(Bulk)	3250 +/- 30 BP
319 cm Organic Sediment		16800 +/- 50 BP",223,223,wood fragment,1790,30,,,-166.2151924,64.96922236
Scarp Headwall,Eitan,TR47_SC1_223,"Depth Material Age
223 cm Wood Fragment		1790 +/- 30 BP
223 cm Organic Sediment		2200 +/- 30 BP
278 cm Wood Fragment 		2450 +/- 30 BP
278 cm Organic Sediment	(Bulk)	3250 +/- 30 BP
319 cm Organic Sediment		16800 +/- 50 BP",223,223,organic sediment,2220,30,,,-166.2151924,64.96922236
Scarp Headwall,Eitan,TR47_SC1-278_wood,"Depth Material Age
223 cm Wood Fragment		1790 +/- 30 BP
223 cm Organic Sediment		2200 +/- 30 BP
278 cm Wood Fragment 		2450 +/- 30 BP
278 cm Organic Sediment	(Bulk)	3250 +/- 30 BP
319 cm Organic Sediment		16800 +/- 50 BP",278,278,wood fragment,2450,30,,,-166.2151924,64.96922236
Scarp Headwall,Eitan,TR47_SC1_278_BULK,"Depth Material Age
223 cm Wood Fragment		1790 +/- 30 BP
223 cm Organic Sediment		2200 +/- 30 BP
278 cm Wood Fragment 		2450 +/- 30 BP
278 cm Organic Sediment	(Bulk)	3250 +/- 30 BP
319 cm Organic Sediment		16800 +/- 50 BP",278,278,organic sediment,3250,30,,,-166.2151924,64.96922236
