Site,SampleLocationName,Total_C_stock_kg_m2_0to50cm,Total_N_stock_kg_m2_0to50cm,X,Y,mean_disp_rate,soc_0_20,C_N_ratio
TL47,TL47 DoubleTree Pit 1,12.528,0.814039232,442376.25,7206509.194,0.053399278,3.23,15.38992165
TL47,TL47 NPF-1,17.31361716,1.621916171,443032.1486,7206635.717,0.018643975,5.26,10.67479163
TL47,TL47 NPF-10,16.458125,1.0038625,442764.7193,7206602.935,0.037396445,10.78,16.39480008
TL47,TL47 NPF-8,19.7971875,0.807,442286.9891,7206509.583,0.020148184,4.96,24.53183086
TL47,TL47-22-05,15.93378562,1.071410287,442931.557,7206297.648,0.036212265,8.64,14.87178704
TL47,TL47_Slice3,21.33532252,1.660637594,442442.8978,7206738.769,0.034250618,8.16,12.84766923
TL47,TL47_Slice7,11.43590902,0.504463517,442671.6503,7206658.006,0.060855338,2.96,22.66944711
TL47,TL47_Slice8,10.06523803,0.409226,442744.5118,7206647.02,0.053271168,2.03,24.59579311
TL27,TL27 NonPF Core 13,10.97933222,0.317406241,454134.5091,7180197.471,0.018760678,3.73,34.59078872
TL27,TL27 NonPF Core 3,11.13929251,0.647086356,454827.9905,7178958.053,0.01519083,10.16,17.21453776
TL27,TL27 NonPF Core 6,5.819435085,0.502992321,454795.3518,7178932.015,0.01519083,4.47,11.56963008
TL27,TL27 NonPF Core 8,5.682283491,0.417070949,454802.4897,7178928.341,0.01519083,4.49,13.62426106
TL27,TL27 NonPF Core 9,20.60685122,0.885234513,454352.6583,7179642.101,0.029773863,8.03,23.27840919
TL27,TL27 PF Core 15,18.66561714,1.142120501,454917.1268,7178742.05,0.024249427,25.7,16.34294904
TL27,TL27 PF Core 16,27.53810499,1.776466637,454923.3143,7178738.502,0.02748256,27.495,15.50161676
