SampleLocationName,Site,Y,X,pfTemp,dhorizontal,geometry
C_21,TL47,7206816.571,442361.346,-0.14,0.431020138,POINT (442361.346 7206816.571)
C_26,TL47,7206683.679,442343.414,-0.08,0.326202675,POINT (442343.414 7206683.679)
C_22,TL47,7206820.08,442354.04,-0.3125,0.42317284,POINT (442354.04 7206820.08)
C_19,TL47,7206794.963,442407.504,0.1875,0.215341875,POINT (442407.504 7206794.963)
C_20,TL47,7206808.464,442378.281,-0.164,0.243909462,POINT (442378.281 7206808.464)
W_06,TL47,7206451.884,442312.053,-0.25,0.12336246,POINT (442312.053 7206451.884)
C_07,TL47,7206703.435,442574.273,-0.11,0.075132203,POINT (442574.273 7206703.435)
C_16,TL47,7206740.347,442509.397,-0.08,0.067260385,POINT (442509.397 7206740.347)
W_05,TL47,7206441.158,442312.328,-0.367,0.156558704,POINT (442312.328 7206441.158)
C_15,TL47,7206738.163,442520.766,-0.15,0.060633293,POINT (442520.766 7206738.163)
C_09,TL47,7206708.645,442561.478,-0.17,0.046090731,POINT (442561.478 7206708.645)
C_04,TL47,7206694.109,442606.352,-0.21,0.038747939,POINT (442606.352 7206694.109)
C_05,TL47,7206719.685,442593.969,-0.05,0.037635214,POINT (442593.969 7206719.685)
W_04,TL47,7206415.761,442313.724,-0.3125,0.057283976,POINT (442313.724 7206415.761)
W_09,TL47,7206506.984,442335.382,5.3,0.022150757,POINT (442335.382 7206506.984)
C_11,TL47,7206723.799,442583.531,5.65,0.014839895,POINT (442583.531 7206723.799)
C_17,TL47,7206743.051,442484.958,3.55,0.034250618,POINT (442484.958 7206743.051)
C_03,TL47,7206653.941,442699.148,-0.125,0.029676765,POINT (442699.148 7206653.941)
C_14,TL47,7206722.986,442559.025,-0.03125,0.025500033,POINT (442559.025 7206722.986)
C_29,TL47,7206686.356,442328.646,3.9,0.009726043,POINT (442328.646 7206686.356)
C_27,TL47,7206684.726,442336.779,1.875,0.036731606,POINT (442336.779 7206684.726)
E_04,TL47,7206555.109,443058.144,-0.203,0.024108303,POINT (443058.144 7206555.109)
C_10,TL47,7206714.558,442572.776,-0.11,0.02352294,POINT (442572.776 7206714.558)
W_01,TL47,7206348.123,442769.107,-0.2109,0.047205959,POINT (442769.107 7206348.123)
E_07,TL47,7206611.445,443061.539,-0.234,0.001428359,POINT (443061.539 7206611.445)
W_08,TL47,7206502.683,442308.79,-0.078,0.01814561,POINT (442308.79 7206502.683)
W_07,TL47,7206465.443,442311.178,-0.117,0.020921005,POINT (442311.178 7206465.443)
E_09,TL47,7206669.769,443053.602,-0.04,0.019057771,POINT (443053.602 7206669.769)
E_18,TL47,7206869.71,443045.582,2.367,0.017755032,POINT (443045.582 7206869.71)
C_13,TL47,7206717.077,442562.713,1.656,0.007055736,POINT (442562.713 7206717.077)
E_13,TL47,7206631.623,442950.054,-0.164,0.018273972,POINT (442950.054 7206631.623)
W_02,TL47,7206424.073,442759.33,-0.273,0.00663198,POINT (442759.33 7206424.073)
E_16,TL47,7206817.134,442925.484,1.679,0.030056086,POINT (442925.484 7206817.134)
E_03,TL47,7206551.433,443054.387,-0.164,0.008418468,POINT (443054.387 7206551.433)
E_05,TL47,7206604.05,443056.112,-0.328,0.012178174,POINT (443056.112 7206604.05)
W_03,TL47,7206436.96,442759.726,-0.211,0.01674187,POINT (442759.726 7206436.96)
E_08,TL47,7206616.256,443055.276,-0.265,0.005520539,POINT (443055.276 7206616.256)
E_10,TL47,7206567.828,442924.429,0.015,0.007152442,POINT (442924.429 7206567.828)
E_15,TL47,7206764.845,442911.431,0.679,0.013225476,POINT (442911.431 7206764.845)
E_17,TL47,7206850.755,443045.817,1.093,0.003480293,POINT (443045.817 7206850.755)
t2_15,TL47,7206491.341,443233.72,5,0.026038996,POINT (443233.72 7206491.341)
t2_12,TL47,7206638.57,443157.909,0,0.055597886,POINT (443157.909 7206638.57)
bm1,TL47,7206476.676,443096.851,5,0.017820819,POINT (443096.851 7206476.676)
fglb1f,TL47,7206546.709,443061.327,2.5,0.097857689,POINT (443061.327 7206546.709)
fglb1m,TL47,7206554.939,443057.512,-0.7,0.080773579,POINT (443057.512 7206554.939)
fglb1s,TL47,7206574.698,443057.969,-0.6,0.042508288,POINT (443057.969 7206574.698)
fglb1b,TL47,7206594.125,443052.194,-0.6,0.042946417,POINT (443052.194 7206594.125)
bm2,TL47,7206635.571,443032.96,5,0.031146385,POINT (443032.96 7206635.571)
fglb2b,TL47,7206679.395,443003.973,5.4,0.031116053,POINT (443003.973 7206679.395)
fglb2f,TL47,7206655.225,443004.145,0,0.038830274,POINT (443004.145 7206655.225)
t2_2,TL47,7206758.19,442797.657,0,0.076962021,POINT (442797.657 7206758.19)
t2_3,TL47,7206768.92,442953.997,6.4,0.026550451,POINT (442953.997 7206768.92)
t2_4,TL47,7206931.547,442960.172,5,0.057964234,POINT (442960.172 7206931.547)
bm3,TL47,7206972.069,442839.194,3.8,0.049611783,POINT (442839.194 7206972.069)
fglb3m,TL47,7206979.323,442845.311,2.7,0.059478976,POINT (442845.311 7206979.323)
fglb3u,TL47,7206986.317,442837.278,3.5,0.032716117,POINT (442837.278 7206986.317)
fglb4l,TL47,7207013.525,442844.903,4.7,0.010369337,POINT (442844.903 7207013.525)
fglb4u,TL47,7207015.401,442844.602,4,0.046579779,POINT (442844.602 7207015.401)
t2_5,TL47,7206923.452,442798.772,4.4,0.050832799,POINT (442798.772 7206923.452)
t2_6,TL47,7206931.549,442639.377,2.8,0.026399759,POINT (442639.377 7206931.549)
t2_7,TL47,7207045.543,442510.782,-0.5,0.061281223,POINT (442510.782 7207045.543)
t2_8,TL47,7206940.284,442452.704,0.4,0.079829204,POINT (442452.704 7206940.284)
t2_32,TL47,7206522.185,442337.251,1.9,0.0846478,POINT (442337.251 7206522.185)
t2_33,TL47,7206614.732,442461.225,4.4,0.044664772,POINT (442461.225 7206614.732)
t2_31,TL47,7206455.89,442513.363,1.5,0.060475662,POINT (442513.363 7206455.89)
