,SampleLocationName,Site,Y,X,pfTemp,dhorizontal,geometry,dem_curv_gauss_sigma60m_laplacian,dem_curv_gauss_sigma9m_laplacian,dem_curv_gauss_sigma15m_laplacian,elev,dem_curv_gauss_sigma120m_laplacian,slope,drainagearea,dem_curv_gauss_sigma30m_laplacian,curv,ndvi,pf
0,C_21,TL47,7206816.571,442361.346,-0.14,0.431020138,POINT (442361.346 7206816.571),0.00022777007,0.006612595,0.0032363178,261.4068,-0.00020046321,16.154457,193.98427,0.00097072433,0.0040435935,0.67427814,1.0
1,C_26,TL47,7206683.679,442343.414,-0.08,0.326202675,POINT (442343.414 7206683.679),-0.00022195492,0.0026158246,0.0005738054,251.39557,-0.0003015387,15.700565,199.321,5.2049683e-05,0.023046143,0.70417863,1.0
2,C_22,TL47,7206820.08,442354.04,-0.3125,0.42317284,POINT (442354.04 7206820.08),0.00021984412,0.005341601,0.0027750253,263.28,-0.00019027584,15.300197,204.52216,0.0009708374,0.0074217967,0.67205715,1.0
3,C_19,TL47,7206794.963,442407.504,0.1875,0.215341875,POINT (442407.504 7206794.963),0.0002489478,0.0048971474,0.001994811,244.4721,-0.00030394125,16.651344,166.16235,0.0008494816,0.0020610744,0.7207219,1.0
4,C_20,TL47,7206808.464,442378.281,-0.164,0.243909462,POINT (442378.281 7206808.464),0.00024423277,0.006807348,0.002895913,255.28488,-0.00023412782,18.223125,133.26863,0.00092692696,0.0118178595,0.6890057,1.0
5,W_06,TL47,7206451.884,442312.053,-0.25,0.12336246,POINT (442312.053 7206451.884),0.00046232005,0.0056086476,0.0030470374,257.46155,3.199586e-05,16.835838,122.099625,0.0012493948,0.009306262,0.72455263,1.0
6,C_07,TL47,7206703.435,442574.273,-0.11,0.075132203,POINT (442574.273 7206703.435),-4.8582286e-05,0.007575066,0.0028969774,184.73811,-0.0010516322,19.2725,111.423805,0.00079401163,0.039240822,0.72359353,0.5555556
7,C_16,TL47,7206740.347,442509.397,-0.08,0.067260385,POINT (442509.397 7206740.347),0.00017312224,0.0051549245,0.0012280877,207.2339,-0.0007110069,18.125053,229.9831,0.0005728129,0.015159766,0.75945485,0.6666667
8,W_05,TL47,7206441.158,442312.328,-0.367,0.156558704,POINT (442312.328 7206441.158),0.0005140551,0.0065791123,0.0033321765,257.7611,5.7378635e-05,16.803787,109.00222,0.0013060577,0.010227953,0.7098315,1.0
9,C_15,TL47,7206738.163,442520.766,-0.15,0.060633293,POINT (442520.766 7206738.163),0.00014643822,0.0044909036,0.0014920561,204.3129,-0.0007565362,18.319658,307.66998,0.00054391543,0.00029765774,0.76765907,0.44444445
